xy_axis1_nm,xy_axis2_nm,|H/H0|^2
1.148437500000000000e+01,-1.296093750000000000e+02,2.012254521921965633e+00
1.312500000000000000e+01,-1.296093750000000000e+02,2.005461554077188957e+00
1.476562500000000000e+01,-1.296093750000000000e+02,1.997832325361985628e+00
1.640625000000000000e+01,-1.296093750000000000e+02,1.989391786592680456e+00
1.804687500000000000e+01,-1.296093750000000000e+02,1.980167201793039622e+00
1.968750000000000000e+01,-1.296093750000000000e+02,1.970187959287111656e+00
2.132812500000000000e+01,-1.296093750000000000e+02,1.959485371959125199e+00
2.296875000000000000e+01,-1.296093750000000000e+02,1.948092468951977629e+00
2.460937500000000000e+01,-1.296093750000000000e+02,1.936043781105293071e+00
2.625000000000000000e+01,-1.296093750000000000e+02,1.923375122426485895e+00
2.789062500000000000e+01,-1.296093750000000000e+02,1.910123369845619701e+00
2.953125000000000000e+01,-1.296093750000000000e+02,1.896326243429489411e+00
3.117187500000000000e+01,-1.296093750000000000e+02,1.882022089125487074e+00
3.281250000000000000e+01,-1.296093750000000000e+02,1.867249665974890505e+00
3.445312500000000000e+01,-1.296093750000000000e+02,1.852047939582103453e+00
3.609375000000000000e+01,-1.296093750000000000e+02,1.836455883455549110e+00
3.773437500000000000e+01,-1.296093750000000000e+02,1.820512289651053495e+00
3.937500000000000000e+01,-1.296093750000000000e+02,1.804255589954578465e+00
4.101562500000000000e+01,-1.296093750000000000e+02,1.787723688641604580e+00
4.265625000000000000e+01,-1.296093750000000000e+02,1.770953807649682687e+00
4.429687500000000000e+01,-1.296093750000000000e+02,1.753982344802051951e+00
4.593750000000000000e+01,-1.296093750000000000e+02,1.736844745527137857e+00
4.757812500000000000e+01,-1.296093750000000000e+02,1.719575388334143140e+00
4.921875000000000000e+01,-1.296093750000000000e+02,1.702207484131131876e+00
5.085937500000000000e+01,-1.296093750000000000e+02,1.684772989311123403e+00
5.250000000000000000e+01,-1.296093750000000000e+02,1.667302532385268377e+00
5.414062500000000000e+01,-1.296093750000000000e+02,1.649825353811229744e+00
5.578125000000000000e+01,-1.296093750000000000e+02,1.632369258550285362e+00
5.742187500000000000e+01,-1.296093750000000000e+02,1.614960580788518119e+00
5.906250000000000000e+01,-1.296093750000000000e+02,1.597624160175848518e+00
6.070312500000000000e+01,-1.296093750000000000e+02,1.580383328871241888e+00
6.234375000000000000e+01,-1.296093750000000000e+02,1.563259908632447903e+00
6.398437500000000000e+01,-1.296093750000000000e+02,1.546274217153380759e+00
6.562500000000000000e+01,-1.296093750000000000e+02,1.529445082830635627e+00
6.726562500000000000e+01,-1.296093750000000000e+02,1.512789867131494770e+00
6.890625000000000000e+01,-1.296093750000000000e+02,1.496324493737964056e+00
7.054687500000000000e+01,-1.296093750000000000e+02,1.480063483653383027e+00
7.218750000000000000e+01,-1.296093750000000000e+02,1.464019995478966329e+00
7.382812500000000000e+01,-1.296093750000000000e+02,1.448205870095611747e+00
7.546875000000000000e+01,-1.296093750000000000e+02,1.432631679020491822e+00
7.710937500000000000e+01,-1.296093750000000000e+02,1.417306775746884018e+00
7.875000000000000000e+01,-1.296093750000000000e+02,1.402239349418400449e+00
8.039062500000000000e+01,-1.296093750000000000e+02,1.387436480234151670e+00
8.203125000000000000e+01,-1.296093750000000000e+02,1.372904196028406743e+00
8.367187500000000000e+01,-1.296093750000000000e+02,1.358647529516303409e+00
8.531250000000000000e+01,-1.296093750000000000e+02,1.344670575745089414e+00
8.695312500000000000e+01,-1.296093750000000000e+02,1.330976549337930415e+00
8.859375000000000000e+01,-1.296093750000000000e+02,1.317567841163585163e+00
9.023437500000000000e+01,-1.296093750000000000e+02,1.304446074110082288e+00
9.187500000000000000e+01,-1.296093750000000000e+02,1.291612157683306616e+00
9.351562500000000000e+01,-1.296093750000000000e+02,1.279066341192022449e+00
9.515625000000000000e+01,-1.296093750000000000e+02,1.266808265318956073e+00
9.679687500000000000e+01,-1.296093750000000000e+02,1.254837011913103151e+00
9.843750000000000000e+01,-1.296093750000000000e+02,1.243151151871229487e+00
1.000781250000000000e+02,-1.296093750000000000e+02,1.231748791006648469e+00
1.017187500000000000e+02,-1.296093750000000000e+02,1.220627613830699509e+00
1.033593750000000000e+02,-1.296093750000000000e+02,1.209784925197060046e+00
1.050000000000000000e+02,-1.296093750000000000e+02,1.199217689781078233e+00
1.066406250000000000e+02,-1.296093750000000000e+02,1.188922569385913786e+00
